currency,CHF,CHF,CHF,CHF,CHF,CHF,EUR,EUR,EUR,EUR,EUR,EUR,GBP,GBP,GBP,GBP,GBP,GBP,JPY,JPY,JPY,JPY,JPY,JPY
coefficient,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX,const,SP500,UST10Y,fxvol,TED,VIX
date,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,0.0001443485859088466,0.024277577471747126,-0.022209777187994897,0.000272098106770418,-0.06941990203918412,0.004113569705577748,0.00010924656469623026,0.058793933926680836,-0.013711188784308702,0.0001239511318971143,-0.09145189410611165,0.002070697189562978,0.00020999829716129425,0.07583600215930189,-0.00835430297762058,0.00013422684319681306,-0.223341000469955,0.0009767869812977485,,,,,,
2000-02-16,0.00014434765696591,0.024263203437729454,-0.022210287607132378,0.0002720322918599201,-0.06942617672825117,0.004115390072035776,0.000109268557867883,0.05877264925780743,-0.013712796989316762,0.00012388002655168556,-0.09144814682852961,0.0020732329851307005,0.00021002645975430509,0.07581059354519214,-0.008355392960626743,0.00013417396439831646,-0.22333441676462865,0.0009804531446285824,,,,,,
2000-02-17,0.00014434623763716773,0.02424887533787206,-0.02221079802626986,0.00027196611820799407,-0.06943278181473456,0.004117207112458973,0.00010929016889842599,0.058751400406908544,-0.013714405194324819,0.00012380865745579693,-0.09144465688805399,0.002075766187155545,0.00021005274950480125,0.07578536261097962,-0.008356482943632906,0.00013411892622746614,-0.22332907547070271,0.0009841064427947956,,,,,,
2000-02-18,0.00014434422554782084,0.024234544948764203,-0.022211310763285443,0.00027189951361287145,-0.06943977739870782,0.004119026457225989,0.00010931108958876223,0.05873014888818966,-0.013716016100674492,0.00012373681697248803,-0.09144162149791507,0.002078302074598319,0.00021007880102940572,0.07576013074492552,-0.008357573869995964,0.0001340636115485571,-0.2233238886998341,0.0009877606789162048,,,,,,
2000-02-23,0.00014434291721466386,0.024220017316357367,-0.022211835883874986,0.0002718333018997827,-0.06944631990056409,0.004120867444167432,0.00010933232310887729,0.05870880963555979,-0.01371763251556969,0.00012366513665177466,-0.09143838480828262,0.002080847588521308,0.00021010561125121176,0.07573468350765722,-0.008358678316090332,0.00013400908220029847,-0.22331822099151996,0.0009914385455061985,,,,,,
2000-02-24,0.0001443429112257508,0.02420556400808353,-0.022212340634182266,0.00027176881455188653,-0.06945214093992973,0.004122680892735869,0.00010935458928051446,0.05868752935375698,-0.013719232767161596,0.0001235946625436569,-0.09143457634827117,0.0020833712526656047,0.00021013447696540148,0.07570935508205147,-0.008359750203794184,0.00013395811389116472,-0.22331143211893179,0.0009950723917411162,,,,,,
2000-02-25,0.00014434561712131823,0.02419097888363009,-0.0222128878017326,0.0002717076273260301,-0.06945641906778087,0.004124509034527703,0.0001093796784782525,0.058666111765231746,-0.013720877205418692,0.00012352715282893788,-0.09142916255712337,0.0020859102220997724,0.00021016462511086071,0.07568396352135949,-0.008360842404829486,0.00013390931376501552,-0.22330392484133746,0.0009987132752617026,,,,,,
2000-02-28,0.00014435325205313648,0.024175724674855195,-0.022213434969282936,0.0002716532859821773,-0.06945781904939113,0.00412638068953144,0.00010940960338741403,0.05864403733822385,-0.013722521643675786,0.00012346556657582674,-0.09142092654430677,0.0020884919084877543,0.00021019578643179289,0.07565843266338207,-0.00836193460586479,0.00013386250963701976,-0.22329583505703732,0.0010023632175470798,,,,,,
2000-02-29,0.00014436342212265636,0.024160722850174943,-0.02221397718024529,0.0002716035020080637,-0.06945777667857868,0.004128238238453859,0.00010944255749634973,0.05862226467541618,-0.013724160155214911,0.0001234089169052357,-0.09141096795842778,0.002091056728820639,0.00021022666933064849,0.07563287373147286,-0.008363027358165498,0.000133815054664082,-0.22328790124196402,0.0010060147288712587,,,,,,
2000-03-01,0.00014437424529807575,0.02414580134293469,-0.02221451300659026,0.00027155486738388257,-0.06945735294836977,0.004130086281736702,0.00010947633632650767,0.058600593500164305,-0.013725790598798053,0.0001233535570787887,-0.09140052804810649,0.0020936095379734975,0.00021026055824821248,0.07560768921786984,-0.008364090351437483,0.00013377407729215144,-0.22327823917141842,0.0010096219288841925,,,,,,
2000-03-02,0.00014438359245353804,0.024130755085978214,-0.022215040175390402,0.00027150270870888505,-0.06945812258022296,0.004131964618942531,0.00010950862897684598,0.058578796635681496,-0.013727412319118313,0.00012329492559526038,-0.09139128910529576,0.0020961928692970664,0.00021029341113057678,0.0755824160170569,-0.008365147190775461,0.00013373031424940653,-0.2232694018463172,0.0010132506647950754,,,,,,
2000-03-03,0.00014439549051757387,0.024115751978624363,-0.022215562356768057,0.000271456701225902,-0.06945682980262102,0.004133824462017771,0.00010954339786836104,0.058557041684726883,-0.013729029194600274,0.0001232418247213957,-0.09138004913598582,0.0020987582362197795,0.0002103277978970722,0.07555716909553269,-0.008366200993079652,0.00013369077146808758,-0.22325934345850523,0.0010168681376363782,,,,,,
2000-03-06,0.00014440751314508574,0.024100771102370334,-0.02221608478168666,0.0002714109866459541,-0.06945544191043065,0.004135681248773059,0.00010957854469719863,0.05853535422842756,-0.013730646809527663,0.00012318954201408832,-0.09136852072627061,0.002101314323982793,0.00021036176849635295,0.07553184694640311,-0.008367253971388166,0.00013365008849005474,-0.22324959795926044,0.0010204959523970533,,,,,,
2000-03-07,0.00014442012081484722,0.024085722310188032,-0.022216603775059855,0.0002713666466113291,-0.0694536335679027,0.004137555618509314,0.00010961390584359829,0.05851364187658867,-0.013732263166499314,0.00012313772261200715,-0.09135683837171532,0.0021038768570557365,0.00021039684744647347,0.07550639448035273,-0.008368300366215803,0.00013361242059378625,-0.22323906818180997,0.0010241575042552458,,,,,,
2000-03-08,0.00014443400722195213,0.02407037184233291,-0.022217130268823423,0.00027132546489232515,-0.06945092538506549,0.004139471904759847,0.00010965037019581958,0.05849166909244228,-0.01373388599883435,0.00012308842543065981,-0.09134438009073599,0.0021064755761743183,0.00021043071837894414,0.07548123066417206,-0.00836933958555278,0.00013357138262650117,-0.2232293753992216,0.0010277789507664977,,,,,,
2000-03-09,0.00014444736502831492,0.024054982279166068,-0.022217655729090437,0.00027128293395845834,-0.06944858917561103,0.004141391063346032,0.00010968653625827663,0.0584696742325882,-0.013735508247556738,0.00012303841778815136,-0.09133213160824175,0.0021090759172021135,0.00021046325092185971,0.07545596659009346,-0.008370376154927993,0.0001335265841197854,-0.22322060994181034,0.0010314077629967199,,,,,,
2000-03-10,0.00014445801063540074,0.02403896976063423,-0.022218165281044883,0.0002712332195993775,-0.06944820213325067,0.004143360873849993,0.0001097199281613432,0.0584470417759517,-0.013737114213107124,0.0001229815562308348,-0.09132187581136594,0.0021117281007944624,0.0002104971168471012,0.07543101270700077,-0.008371420644446115,0.0001334857770339546,-0.2232109009720558,0.0010350113546987497,,,,,,
2000-03-13,0.00014446954366252495,0.024022919071574174,-0.022218667892823275,0.00027118573648113813,-0.06944723047832534,0.0041453201089845845,0.00010975384176538446,0.05842438686499253,-0.013738716095764636,0.00012292590176809866,-0.09131127650363653,0.0021143740632646167,0.00021053117028143982,0.07540605065506739,-0.008372463648919958,0.00013344549351066413,-0.22320107037623133,0.001038612683248158,,,,,,
2000-03-14,0.0001444820910910041,0.024006792424873673,-0.02221917645453829,0.0002711403275486418,-0.0694456057462122,0.004147299122964777,0.00010978814580048903,0.058401702700025065,-0.01374032027009154,0.00012287097940311795,-0.09130042596159174,0.0021170276433012487,0.00021056533776437725,0.07538107995363919,-0.008373507330829812,0.00013340548714960756,-0.2231911674851069,0.0010422162639939642,,,,,,
2000-03-15,0.00014449521530501952,0.02399057226655317,-0.022219690654779873,0.00027109610804020213,-0.06944360967638924,0.00414928830212904,0.00010982253716270706,0.058379004367998796,-0.0137419252987087,0.0001228162223529879,-0.09128951922635532,0.0021196827633734815,0.00021060030559639283,0.07535597782968413,-0.008374558936047372,0.00013336743020895905,-0.22318075725345138,0.0010458341305711954,,,,,,
2000-03-16,0.00014450689403103898,0.023974037132745214,-0.022220199202714352,0.000271048832260428,-0.06944258750404378,0.004151311663451191,0.00010985580514222822,0.05835606109052637,-0.013743525931463645,0.0001227592732662839,-0.09127936898667835,0.0021223644658027274,0.00021063572236167442,0.07533097478509068,-0.008375612319007422,0.00013333049574365018,-0.22317004920721548,0.001049441245081465,,,,,,
2000-03-17,0.0001445186331681256,0.023957527547263553,-0.02222070810498789,0.00027100167917148965,-0.06944152553423219,0.004153333850031479,0.00010988955343615466,0.05833332107259057,-0.013745129383466144,0.00012270322421218923,-0.09126890248688424,0.0021250368220911537,0.000210671891336805,0.07530629393943693,-0.008376670170010422,0.00013329540843377358,-0.22315885324690454,0.0010530335449845504,,,,,,
2000-03-20,0.00014453142597550483,0.02394105726538315,-0.022221229367795924,0.0002709565479256476,-0.06943980098145892,0.004155376903420031,0.00010992417897726019,0.05831061379844593,-0.013746743133627252,0.00012264865008530855,-0.09125788462435547,0.002127726562552769,0.00021070909386060164,0.07528165214168339,-0.008377740299341973,0.00013326258217160794,-0.22314701735746992,0.001056646575274501,,,,,,
2000-03-21,0.00014454414560901164,0.023924590552288454,-0.022221750344471384,0.00027091129065755806,-0.06943812025170212,0.004157419448463002,0.0001099583506635791,0.05828792867363797,-0.013748355107828028,0.0001225934115165576,-0.0912471384326823,0.0021304131480046414,0.00021074658748757504,0.0752569959642068,-0.008378811581420545,0.00013323032392083747,-0.22313500981219242,0.0010602616537775836,,,,,,
2000-03-22,0.00014455754144098224,0.02390827893741724,-0.02222227793151198,0.00027086714371468555,-0.06943603455422352,0.004159451808683281,0.00010999336686660288,0.058265437378501754,-0.013749975343636991,0.00012253933761019166,-0.09123588672562724,0.0021330870052179342,0.0002107840150239454,0.07523232443308495,-0.008379882209214384,0.00013319794252940068,-0.22312304123879523,0.001063877740474863,,,,,,
