date,const,SP500,UST10Y,fxvol,TED,VIX
2002-04-02,-0.00014653696119216564,-0.008922412543693312,-0.03525410846866603,0.0005005125273224169,0.11924269536032393,0.008506806031056344
2002-04-03,-0.00014659129111392326,-0.008907085288180306,-0.0352528263289114,0.000500553601692511,0.11916470101871868,0.008505090563051376
2002-04-04,-0.00014655749038574708,-0.008892589069354912,-0.03525191793987427,0.0005002715479324104,0.11910560306665383,0.008503128911595752
2002-04-05,-0.00014657115561969691,-0.008876849364872846,-0.03525091195256885,0.0005000877829311555,0.11909309442545135,0.008501726467382752
2002-04-08,-0.0001465427426877398,-0.008867471007120572,-0.035249574573381674,0.0004997810405124497,0.119046306655909,0.008499744006436615
2002-04-09,-0.00014652807564812992,-0.008856448294993626,-0.035248560214651795,0.0004997640665666573,0.11899408939108146,0.00849830187935269
2002-04-10,-0.00014648465617633853,-0.00885118031880783,-0.03524665715874675,0.0004997079309585351,0.11896011769127993,0.008497257061163901
2002-04-11,-0.00014643663051151846,-0.008842358881254671,-0.0352446688859096,0.0004996705681720181,0.11890346645506784,0.008495448563490209
2002-04-12,-0.0001463627853144767,-0.008832012979345645,-0.03524276862072525,0.0004996438570799845,0.11885437299186188,0.008492545644211666
2002-04-15,-0.0001463722653699466,-0.008815679938634882,-0.03524106114040576,0.0004995773363777757,0.11883393390271361,0.008490903296935437
2002-04-16,-0.00014639051982248628,-0.008799085576886361,-0.035239387815784895,0.0004996694756870004,0.1187808481697375,0.008489805296974882
2002-04-17,-0.00014638627206296613,-0.00879076163584689,-0.035238184272646716,0.0004998454276162095,0.11875083179953855,0.008487481773248248
2002-04-18,-0.00014635512921655977,-0.008780330778176526,-0.03523692903768296,0.0004997237287014631,0.11873352975567229,0.008485391433624952
2002-04-19,-0.00014630118495255546,-0.008768738839550165,-0.035235197027845055,0.0004996457334178089,0.1187163319309782,0.008485221301295118
2002-04-22,-0.00014619506932451033,-0.008760072045620473,-0.03523407345576847,0.000499547027615527,0.11862804440879865,0.008484805917258214
2002-04-23,-0.00014609100225492562,-0.008753862806650532,-0.03523239878360969,0.0004993917855922287,0.1185793187610255,0.008483127274547943
2002-04-24,-0.00014607554121941655,-0.008742078723158977,-0.03523086601262969,0.0004994078055779458,0.11855407866683379,0.008481981747329803
2002-04-25,-0.0001459459565934113,-0.00873936366126692,-0.035228625810411786,0.0004995509329947504,0.1185396025245468,0.008480904150882724
2002-04-26,-0.00014597581252279193,-0.008725668066230994,-0.03522725453860643,0.0004996055904279278,0.11855285730769811,0.008477726440284787
