date,const,SP500,UST10Y,fxvol,TED,VIX
2000-02-15,8.819404547607321e-05,0.06756145965177575,-0.012753364865002892,0.00017607351159890287,-0.08402527282606187,0.0022257036250909216
2000-02-16,8.824703558115408e-05,0.06753764301239096,-0.012755628923145267,0.0001761250868022134,-0.08399915610579627,0.0022298030485623727
2000-02-17,8.828093096399155e-05,0.06751264710959715,-0.012758395707089122,0.00017611040109672682,-0.08396885515497643,0.0022339703016173097
2000-02-18,8.833275375599186e-05,0.06748686321421604,-0.01276025164579196,0.00017593929807637083,-0.08397720706680252,0.002237271750697506
2000-02-23,8.840890106001658e-05,0.06746665296767924,-0.012762453933612526,0.00017580378717087987,-0.08391734589062112,0.0022393418400948953
2000-02-24,8.83949446407212e-05,0.0674376688935211,-0.012763920740276385,0.00017577368181479635,-0.08388174032786212,0.002242908599250793
2000-02-25,8.84274946873685e-05,0.06741455316105596,-0.012766002844479284,0.00017574218016967041,-0.08384416883658648,0.0022462311090630507
2000-02-28,8.851265148037908e-05,0.06739121559218463,-0.012768818792711514,0.0001756130218612292,-0.08377696651462681,0.0022490911521203948
2000-02-29,8.855441268140357e-05,0.06737090017209982,-0.012769962315892672,0.0001754874491581772,-0.08373581715656223,0.002251512909387278
2000-03-01,8.865929230344132e-05,0.06734179732158944,-0.012772264694548181,0.00017541629335896604,-0.08370900930889126,0.0022545138811276427
2000-03-02,8.868617944661533e-05,0.0673152125508124,-0.012773996820456225,0.00017525633920046306,-0.08364187076366514,0.0022570471047675435
2000-03-03,8.872101164923987e-05,0.06729414249861937,-0.012776440069164355,0.00017511131377398622,-0.08359955672514702,0.002260631587621589
2000-03-06,8.87827996615333e-05,0.06727176161408678,-0.012778610286585595,0.00017499172909107952,-0.08360822109818586,0.0022638605998362964
2000-03-07,8.887188226523748e-05,0.06724871526733445,-0.012780068844308583,0.0001748919300125436,-0.08356393062754525,0.002266139641648059
2000-03-08,8.890607284269778e-05,0.0672250598436036,-0.012781822873995133,0.0001747932208876176,-0.0835407383025039,0.002269556831641764
2000-03-09,8.892855198346104e-05,0.06719949722248907,-0.012783612636239101,0.00017467569575836263,-0.08351230689094287,0.0022726366280880882
2000-03-10,8.902960210683826e-05,0.06717337954110417,-0.012785791373172149,0.00017475169306952585,-0.08350749026880991,0.002274988794752757
2000-03-13,8.912471044901518e-05,0.0671498439314024,-0.012787188173219886,0.0001747119260784462,-0.08346046072720463,0.002278307579186131
2000-03-14,8.922023733810206e-05,0.06711850345809388,-0.012788837051981953,0.00017456215356859712,-0.083396093351904,0.0022806924788452048
2000-03-15,8.927189476050514e-05,0.06709529425285123,-0.01279107648725851,0.00017449410596770615,-0.08335329994663987,0.0022839149858165943
2000-03-16,8.932043019418882e-05,0.06706921226274305,-0.012793768175120013,0.00017447273370051897,-0.08331067987919435,0.002287600383664331
2000-03-17,8.94451140205819e-05,0.06704087014309033,-0.012795484356061943,0.00017443153733233988,-0.08326471698078851,0.002290956795480291
2000-03-20,8.949375783503731e-05,0.06701488128221482,-0.012798699244189535,0.00017431336468314552,-0.0832128035649819,0.0022935476268675886
2000-03-21,8.95336211166968e-05,0.0669921021965631,-0.012801394697793705,0.00017418641593780235,-0.08318036691126746,0.0022965346100442614
2000-03-22,8.963531114700218e-05,0.06696426746891952,-0.01280384322921811,0.00017414184951683226,-0.08314500980381312,0.002299179378867758
2000-03-23,8.970063078991421e-05,0.06693625894138781,-0.012805292564419582,0.00017416017085334658,-0.08313242773938506,0.002302271660988432
2000-03-24,8.976739288251475e-05,0.06690747531254843,-0.01280699183942643,0.00017392819672741206,-0.08306291431155978,0.0023048528157766186
2000-03-27,8.981076203756805e-05,0.06688115996667626,-0.012809225663233493,0.00017393800688631468,-0.08300245436187645,0.0023081437388424914
2000-03-28,8.987930658028046e-05,0.06685508027571763,-0.01281103328153368,0.00017381909682642074,-0.08294878086424794,0.0023119578044896497
2000-03-29,8.994650206431389e-05,0.0668263228797495,-0.012813282010571424,0.00017391179016388374,-0.08288247763390007,0.0023140023162177325
2000-03-30,8.999791507803173e-05,0.06679512781303558,-0.012815358893123562,0.00017376922613351043,-0.08282312802037907,0.0023180514398839017
2000-03-31,9.002062474019679e-05,0.0667673904155767,-0.012817698344120507,0.0001737232273593822,-0.08275836431356266,0.002321431731206037
2000-04-03,9.010956238711916e-05,0.06673703745449434,-0.01281932037184689,0.00017368367294532663,-0.08269299156090396,0.0023238817376715418
2000-04-04,9.014459030673612e-05,0.06670878774034004,-0.012820787766859942,0.00017352115007784858,-0.08262971378190279,0.0023266164934954326
2000-04-05,9.022604004884498e-05,0.06668387700675743,-0.012822778976468977,0.0001733399939670223,-0.08255471200916373,0.0023302464086489647
2000-04-06,9.03193848066875e-05,0.06665786469194221,-0.012824748387055765,0.00017330428953723324,-0.08251514236252515,0.002333788680534545
2000-04-07,9.036561429468242e-05,0.06662845071797897,-0.012827295492714826,0.00017320000103736633,-0.08245528574523141,0.0023363409053093983
2000-04-10,9.04556468090303e-05,0.06660096194385717,-0.012829437782044924,0.0001731417907765828,-0.08238615126707684,0.0023387804908819865
2000-04-11,9.050632661265823e-05,0.06657430790045911,-0.012831127092599225,0.00017308993027190969,-0.08236321645093571,0.0023425497939203108
